Date,Price
10/1/2000,1759
11/1/2000,1672
12/1/2000,1599
6/1/2000,1616
7/1/2000,1642
8/1/2000,1652
9/1/2000,1739
1/1/2001,1504
10/1/2001,861
11/1/2001,868
12/1/2001,876
2/1/2001,1537
3/1/2001,1438
4/1/2001,1459
5/1/2001,1389
6/1/2001,1386
7/1/2001,1049
8/1/2001,927
9/1/2001,952
1/1/2002,908
10/1/2002,1417
11/1/2002,1560
12/1/2002,1738
2/1/2002,1031
3/1/2002,1082
4/1/2002,1027
5/1/2002,1042
6/1/2002,1005
7/1/2002,968
8/1/2002,1036
9/1/2002,1367
1/1/2003,1530
10/1/2003,4555
11/1/2003,4417
12/1/2003,4765
2/1/2003,1764
3/1/2003,1939
4/1/2003,2142
5/1/2003,2127
6/1/2003,2125
7/1/2003,2181
8/1/2003,2265
9/1/2003,2993
1/1/2004,5551
10/1/2004,4922
11/1/2004,6051
12/1/2004,4598
2/1/2004,5263
3/1/2004,4822
4/1/2004,3958
5/1/2004,3286
6/1/2004,3005
7/1/2004,4048
8/1/2004,4186
9/1/2004,4105
1/1/2005,4488
10/1/2005,3113
11/1/2005,2770
12/1/2005,2407
2/1/2005,4726
3/1/2005,4637
4/1/2005,3850
5/1/2005,3219
6/1/2005,2521
7/1/2005,1804
8/1/2005,2592
9/1/2005,2907
1/1/2006,2081
10/1/2006,4037
11/1/2006,4336
12/1/2006,4397
2/1/2006,2680
3/1/2006,2496
4/1/2006,2368
5/1/2006,2436
6/1/2006,2964
7/1/2006,3285
8/1/2006,3847
9/1/2006,3944
1/1/2007,4225
10/1/2007,10656
11/1/2007,10210
12/1/2007,9143
2/1/2007,4765
3/1/2007,5388
4/1/2007,6248
5/1/2007,5971
6/1/2007,6278
7/1/2007,6967
8/1/2007,7702
9/1/2007,9474
1/1/2008,6052
10/1/2008,851
11/1/2008,715
12/1/2008,774
2/1/2008,7613
3/1/2008,8081
4/1/2008,9356
5/1/2008,11440
6/1/2008,9589
7/1/2008,8341
8/1/2008,6809
9/1/2008,3217
1/1/2009,1070
10/1/2009,3103
11/1/2009,3887
12/1/2009,3005
2/1/2009,1986
3/1/2009,1615
4/1/2009,1786
5/1/2009,3494
6/1/2009,3757
7/1/2009,3350
8/1/2009,2421
9/1/2009,2220
1/1/2010,2848
10/1/2010,2678
11/1/2010,2099
12/1/2010,1773
2/1/2010,2738
3/1/2010,2998
4/1/2010,3354
5/1/2010,4078
6/1/2010,2406
7/1/2010,1967
8/1/2010,2713
9/1/2010,2446
1/1/2011,1107
10/1/2011,1965
11/1/2011,1846
12/1/2011,1738
2/1/2011,1251
3/1/2011,1530
4/1/2011,1269
5/1/2011,1480
6/1/2011,1413
7/1/2011,1264
8/1/2011,1619
9/1/2011,1899
1/1/2012,680
10/1/2012,1026
11/1/2012,1086
12/1/2012,699
2/1/2012,750
3/1/2012,934
4/1/2012,1155
5/1/2012,923
6/1/2012,1004
7/1/2012,897
8/1/2012,703
9/1/2012,766
1/1/2013,760
10/1/2013,1504
11/1/2013,1821
12/1/2013,2277
2/1/2013,757
3/1/2013,910
4/1/2013,863
5/1/2013,809
6/1/2013,1171
7/1/2013,1062
8/1/2013,1132
9/1/2013,2003
1/1/2014,1110
10/1/2014,1428
11/1/2014,1153
12/1/2014,782
2/1/2014,1258
3/1/2014,1362
4/1/2014,943
5/1/2014,934
6/1/2014,850
7/1/2014,755
8/1/2014,1147
9/1/2014,1063
1/1/2015,608
10/1/2015,721
11/1/2015,584
12/1/2015,478
2/1/2015,540
3/1/2015,602
4/1/2015,591
5/1/2015,589
6/1/2015,800
7/1/2015,1131
8/1/2015,903
9/1/2015,900
1/1/2016,317
10/1/2016,857
11/1/2016,1204
12/1/2016,961
2/1/2016,329
3/1/2016,429
4/1/2016,703
5/1/2016,612
6/1/2016,660
7/1/2016,656
8/1/2016,711
9/1/2016,875
1/1/2017,800
10/1/2017,1522
11/1/2017,1578
12/1/2017,1366
2/1/2017,859
3/1/2017,1297
4/1/2017,1109
5/1/2017,878
6/1/2017,901
7/1/2017,946
8/1/2017,1184
9/1/2017,1356
1/1/2018,1152
10/1/2018,1490
11/1/2018,1231
12/1/2018,1271
2/1/2018,1192
3/1/2018,1055
4/1/2018,1341
5/1/2018,1090
6/1/2018,1385
7/1/2018,1747
8/1/2018,1579
9/1/2018,1540
1/1/2019,668
2/1/2019,658
3/1/2019,689
4/1/2019,1011
5/1/2019,1096
6/1/2019,1354
7/1/2019,1868
8/1/2019,2378
9/1/2019,1823
10/1/2019,1826
11/1/2019,1419
12/1/2019,1381
1/1/2020,701
2/1/2020,460
3/1/2020,601
4/1/2020,664
5/1/2020,489
